module	Origin	8MPa	15MPa	30MPa	8MPaII	15MPaII	30MPaII
M00141	386.066240281	384.24051587200006	350.4735353920002	339.56246507099985	346.7188719280002	339.97069782899985	331.03018502400005
M00143	14.750637935999999	30.190827093	21.775556557	32.60515006500001	29.404846818	48.03851065	51.403201339
M00144	1942.1727302289996	1646.772789588	2009.2929805940003	1970.1203520309998	1953.2875880319996	1806.9465925569998	2068.989887523
M00145	5.249410032999999	20.623927560000002	12.587692395	14.837048680999994	15.616830101000001	37.515113852	27.497112927
M00146	15.915875647000004	29.511142631	24.133876139999995	32.715793690999995	28.412354043999997	43.30182397	36.624130478999994
M00149	561.0169704279999	560.821233016	491.22722010100006	522.4673017270002	496.008591899	641.8075480440001	578.627697577
M00150	128.212457422	166.87657144700003	147.63454564100002	172.08058327499998	170.16677263499997	117.353304841	143.52510524999994
M00151	137.74653853400002	243.87341814699994	220.66647722099992	277.159611077	280.237542346	449.42569261400007	404.1486594250001
M00152	108.39849710200002	220.05839119399994	195.05513674199995	249.16381522700001	248.55644194699994	426.5298996160001	386.761947663
M00153	462.091788567	581.6410241880001	476.5824091609999	483.4555096729999	464.581538088	591.1344193510004	470.9156844310001
M00154	85.57221056799999	207.26100909500002	171.270159895	231.75102125799995	213.62965599300003	418.13107222999986	342.486902645
M00156	339.17712470500004	457.59110144300007	450.32951333899985	575.1208149770001	552.205682906	680.0022427160001	619.3991330979998
M00157	2572.886424584	2558.071272501	2248.8519438450003	2218.601800900001	2174.4512712419996	1964.7648302129996	1849.537128852
M00158	0.118275006	0.29443593	0.219817855	1.009740072	1.060004102	1.701476699	1.996728217
M00159	420.7592996700001	474.23297374500004	786.320167675	728.2928342079999	800.691537719	560.5051478710001	660.758071518
M00160	0.048539674000000005	1.367707258	2.229498489	3.7061036130000002	7.284749554	11.414989591	12.70343699
M00162	231.962506395	139.24321686500005	97.80659719199997	79.22355375200002	82.147254808	51.998917728	30.105272134
M00165	2876.9955959269996	3372.558223167	3086.4044058679992	3217.4613950799994	3211.2021164180005	2933.39416749	2872.2424085909997
M00166	744.0980310759999	885.71016521	878.6192832029999	931.2488716840002	918.1449468160001	876.6518619260003	808.9129543399999
M00167	2132.8975648509995	2486.848057957	2207.7851226649996	2286.2125233959987	2293.057169602	2056.742305564	2063.329454251
M00168	213.68042836800007	227.11931636600008	202.08834367499995	222.64990575	218.66707061599996	303.88755964999996	299.86886635999997
M00169	321.217207395	384.187477298	353.60370212199996	370.279816708	387.04295494200005	389.3278592700002	377.90825760300004
M00170	369.9301252709998	308.6918787360001	242.97092864699997	285.11030974799996	267.03435351899986	319.082032377	282.51830262399994
M00171	286.200448474	359.972983284	316.17541497199994	334.972035497	351.32635601	358.47362620800016	333.131588011
M00172	348.894371138	463.047491515	413.76103967099993	456.20075355100005	469.737989846	539.7651042290003	512.0072375020001
M00173	6673.443147148	5990.594479336002	5665.100924268	5414.948065892	5292.133657401999	4542.95437174	4429.8966755110005
